id,year,month,value
0,1961,1,1.4371
1,1961,1,1.2495
2,1961,1,0.7152
3,1961,1,1.1819
4,1961,1,2.011
5,1961,1,0.4993
6,1961,1,0.2642
7,1961,1,1.1578
8,1961,1,2.1188
9,1961,1,0.9877
10,1961,1,0.509
11,1961,1,1.2484
12,1961,1,2.6559
13,1961,1,0.324
14,1961,1,0.8763
15,1961,1,2.1472
16,1961,1,1.7902
17,1961,1,0.8149
18,1961,1,0.6552
19,1961,1,1.3668
20,1961,1,1.3623
21,1961,1,0.9296
22,1961,1,2.3749
23,1961,1,0.8347
24,1961,1,1.7458
25,1961,1,0.5033
26,1961,1,1.1785
27,1961,1,0.575
28,1961,1,1.5629
29,1961,1,0.0323
30,1961,1,0.7724
31,1961,1,1.2661
32,1961,1,0.7137
33,1961,1,1.7088
34,1961,1,0.4486
35,1961,1,0.5752
36,1961,1,1.0273
37,1961,1,0.5128
38,1961,1,1.8577
39,1961,1,0.7419
40,1961,1,1.0392
41,1961,1,1.7707
42,1961,1,0.953
43,1961,1,2.1316
44,1961,1,1.2521
45,1961,1,0.4921
46,1961,1,0.3493
47,1961,1,1.4331
48,1961,1,1.2262
49,1961,1,0.2896
50,1961,1,2.0404
51,1961,1,1.1584
52,1961,1,1.4708
53,1961,1,0.6883
54,1961,1,0.4138
55,1961,1,0.6685
56,1961,1,0.6953
57,1961,1,0.4339
58,1961,1,0.7855
59,1961,1,0.4284
60,1961,1,1.7533
61,1961,1,2.2404
62,1961,1,1.5453
63,1961,1,0.7918
64,1961,1,0.4072
65,1961,1,1.3883
66,1961,1,0.7292
67,1961,1,2.0273
68,1961,1,0.7645
69,1961,1,1.3395
70,1961,1,0.6858
71,1961,1,0.6605
72,1961,1,1.5728
73,1961,1,0.839
74,1961,1,2.2306
75,1961,1,0.6969
76,1961,1,4.1061
77,1961,1,0.6623
78,1961,1,0.4854
79,1961,1,1.1918
80,1961,1,0.8599
81,1961,1,1.2416
82,1961,1,1.4866
83,1961,1,0.9533
0,1961,2,12.8678
1,1961,2,24.3781
2,1961,2,16.588
3,1961,2,10.0918
4,1961,2,35.8474
5,1961,2,6.9039
6,1961,2,11.8979
7,1961,2,11.8616
8,1961,2,8.8366
9,1961,2,13.1939
10,1961,2,6.6939
11,1961,2,12.2098
12,1961,2,12.5837
13,1961,2,2.5441
14,1961,2,14.717
15,1961,2,34.1711
16,1961,2,33.7386
17,1961,2,5.8333
18,1961,2,10.5614
19,1961,2,10.0314
20,1961,2,17.1756
21,1961,2,19.9754
22,1961,2,25.142
23,1961,2,6.2902
24,1961,2,24.0288
25,1961,2,7.3078
26,1961,2,53.7866
27,1961,2,52.6805
28,1961,2,59.7886
29,1961,2,1.2534
30,1961,2,7.9482
31,1961,2,40.1324
32,1961,2,12.8436
33,1961,2,86.818
34,1961,2,17.2906
35,1961,2,4.8046
36,1961,2,3.7678
37,1961,2,4.3774
38,1961,2,9.6543
39,1961,2,5.6906
40,1961,2,8.2005
41,1961,2,14.8738
42,1961,2,6.2786
43,1961,2,19.7266
44,1961,2,33.9245
45,1961,2,10.6807
46,1961,2,2.1545
47,1961,2,7.7275
48,1961,2,28.452
49,1961,2,3.9738
50,1961,2,56.6325
51,1961,2,12.1239
52,1961,2,27.7729
53,1961,2,17.7982
54,1961,2,5.206
55,1961,2,11.3321
56,1961,2,56.2837
57,1961,2,32.9902
58,1961,2,24.9091
59,1961,2,19.297
60,1961,2,57.5213
61,1961,2,26.3235
62,1961,2,52.4424
63,1961,2,77.4969
64,1961,2,4.8731
65,1961,2,73.433
66,1961,2,59.3139
67,1961,2,34.3893
68,1961,2,55.7005
69,1961,2,56.089
70,1961,2,15.2908
71,1961,2,64.1353
72,1961,2,85.2201
73,1961,2,25.1645
74,1961,2,20.8514
75,1961,2,3.3145
76,1961,2,14.8484
77,1961,2,5.8993
78,1961,2,2.9832
79,1961,2,36.8079
80,1961,2,19.8361
81,1961,2,11.8671
82,1961,2,11.6124
83,1961,2,41.2454
0,1961,3,9.6209
1,1961,3,17.778
2,1961,3,20.8799
3,1961,3,8.7204
4,1961,3,21.2347
5,1961,3,1.3481
6,1961,3,5.2903
7,1961,3,7.2558
8,1961,3,5.7928
9,1961,3,14.8703
10,1961,3,1.7399
11,1961,3,4.4741
12,1961,3,2.4886
13,1961,3,0.4701
14,1961,3,19.0062
15,1961,3,21.2635
16,1961,3,23.6722
17,1961,3,2.5248
18,1961,3,8.5169
19,1961,3,11.807
20,1961,3,6.9879
21,1961,3,18.1197
22,1961,3,10.2819
23,1961,3,3.6652
24,1961,3,19.1119
25,1961,3,3.614
26,1961,3,45.6168
27,1961,3,60.0371
28,1961,3,38.2862
29,1961,3,0.8284
30,1961,3,2.2101
31,1961,3,32.1892
32,1961,3,12.7331
33,1961,3,51.0215
34,1961,3,10.3014
35,1961,3,4.525
36,1961,3,1.4069
37,1961,3,1.3569
38,1961,3,1.4653
39,1961,3,3.5115
40,1961,3,1.3401
41,1961,3,6.3117
42,1961,3,1.3159
43,1961,3,18.5746
44,1961,3,19.7801
45,1961,3,13.0373
46,1961,3,1.067
47,1961,3,0.8131
48,1961,3,22.0848
49,1961,3,3.7546
50,1961,3,26.1574
51,1961,3,12.6176
52,1961,3,12.9276
53,1961,3,11.7022
54,1961,3,3.1705
55,1961,3,7.8781
56,1961,3,24.9633
57,1961,3,42.2622
58,1961,3,11.4687
59,1961,3,11.5758
60,1961,3,29.6327
61,1961,3,17.5869
62,1961,3,22.5116
63,1961,3,54.9851
64,1961,3,1.646
65,1961,3,38.7931
66,1961,3,33.3295
67,1961,3,21.3276
68,1961,3,35.3175
69,1961,3,49.8686
70,1961,3,11.6063
71,1961,3,62.0121
72,1961,3,44.8802
73,1961,3,11.4483
74,1961,3,7.6504
75,1961,3,0.5457
76,1961,3,2.6438
77,1961,3,0.659
78,1961,3,0.602
79,1961,3,22.166
80,1961,3,17.3956
81,1961,3,8.4994
82,1961,3,7.0639
83,1961,3,18.2786
0,1961,4,11.2081
1,1961,4,16.8923
2,1961,4,15.3516
3,1961,4,8.2146
4,1961,4,21.0091
5,1961,4,1.4184
6,1961,4,6.0055
7,1961,4,8.7198
8,1961,4,4.3229
9,1961,4,12.1294
10,1961,4,3.2287
11,1961,4,8.3566
12,1961,4,4.9423
13,1961,4,0.7044
14,1961,4,11.4027
15,1961,4,16.2233
16,1961,4,30.685
17,1961,4,1.9146
18,1961,4,9.7992
19,1961,4,11.2708
20,1961,4,11.0076
21,1961,4,18.6151
22,1961,4,15.508
23,1961,4,2.8416
24,1961,4,21.4461
25,1961,4,2.836
26,1961,4,55.2164
27,1961,4,59.842
28,1961,4,49.8636
29,1961,4,0.3936
30,1961,4,3.9534
31,1961,4,42.1315
32,1961,4,13.7743
33,1961,4,62.7551
34,1961,4,17.0519
35,1961,4,4.6148
36,1961,4,1.7935
37,1961,4,1.6519
38,1961,4,3.6508
39,1961,4,3.5193
40,1961,4,3.0963
41,1961,4,9.6854
42,1961,4,2.5424
43,1961,4,12.4079
44,1961,4,19.8219
45,1961,4,12.5725
46,1961,4,0.9069
47,1961,4,1.6177
48,1961,4,27.8499
49,1961,4,1.949
50,1961,4,33.1552
51,1961,4,13.533
52,1961,4,18.265
53,1961,4,15.7921
54,1961,4,1.3578
55,1961,4,6.2296
56,1961,4,40.2002
57,1961,4,39.0549
58,1961,4,18.4095
59,1961,4,18.2887
60,1961,4,48.4962
61,1961,4,22.2531
62,1961,4,36.7154
63,1961,4,61.6729
64,1961,4,1.5908
65,1961,4,63.0631
66,1961,4,47.7441
67,1961,4,19.6244
68,1961,4,54.6298
69,1961,4,52.1597
70,1961,4,13.3739
71,1961,4,63.7119
72,1961,4,60.5213
73,1961,4,20.0587
74,1961,4,6.1094
75,1961,4,1.2575
76,1961,4,7.3035
77,1961,4,0.8086
78,1961,4,0.9875
79,1961,4,36.4698
80,1961,4,20.5418
81,1961,4,9.0535
82,1961,4,6.1746
83,1961,4,30.6353
0,1961,5,7.0354
1,1961,5,20.4538
2,1961,5,17.8552
3,1961,5,7.5993
4,1961,5,19.3038
5,1961,5,0.7889
6,1961,5,4.1088
7,1961,5,5.0742
8,1961,5,5.8273
9,1961,5,10.8523
10,1961,5,1.9458
11,1961,5,4.0955
12,1961,5,3.5918
13,1961,5,0.3945
14,1961,5,12.0656
15,1961,5,16.8573
16,1961,5,24.3679
17,1961,5,1.9535
18,1961,5,8.2812
19,1961,5,10.7234
20,1961,5,11.1004
21,1961,5,23.7005
22,1961,5,8.6249
23,1961,5,3.4681
24,1961,5,18.0022
25,1961,5,2.5026
26,1961,5,42.7612
27,1961,5,42.7237
28,1961,5,39.6845
29,1961,5,0.4468
30,1961,5,2.0104
31,1961,5,33.8738
32,1961,5,14.4068
33,1961,5,49.6416
34,1961,5,10.21
35,1961,5,5.2723
36,1961,5,1.6496
37,1961,5,2.0102
38,1961,5,3.463
39,1961,5,5.1503
40,1961,5,4.2635
41,1961,5,4.8056
42,1961,5,1.6518
43,1961,5,15.9829
44,1961,5,31.2486
45,1961,5,13.8326
46,1961,5,1.4313
47,1961,5,1.1328
48,1961,5,21.0129
49,1961,5,2.4983
50,1961,5,14.7372
51,1961,5,12.6239
52,1961,5,9.0954
53,1961,5,11.3169
54,1961,5,1.7292
55,1961,5,5.459
56,1961,5,21.2893
57,1961,5,18.8001
58,1961,5,9.302
59,1961,5,12.028
60,1961,5,41.8064
61,1961,5,18.6736
62,1961,5,32.7615
63,1961,5,35.0346
64,1961,5,1.3681
65,1961,5,44.4858
66,1961,5,22.1862
67,1961,5,12.366
68,1961,5,26.8885
69,1961,5,37.0294
70,1961,5,9.3994
71,1961,5,41.4253
72,1961,5,49.2664
73,1961,5,9.5208
74,1961,5,5.0074
75,1961,5,0.7776
76,1961,5,4.6014
77,1961,5,0.4877
78,1961,5,0.7682
79,1961,5,23.651
80,1961,5,20.7654
81,1961,5,7.3424
82,1961,5,5.4454
83,1961,5,15.3555
0,1961,6,8.9459
1,1961,6,42.605
2,1961,6,27.4397
3,1961,6,7.9334
4,1961,6,40.9921
5,1961,6,0.7382
6,1961,6,6.3235
7,1961,6,7.0624
8,1961,6,8.5672
9,1961,6,17.1798
10,1961,6,2.9032
11,1961,6,6.6628
12,1961,6,3.8249
13,1961,6,0.5296
14,1961,6,18.6709
15,1961,6,35.5044
16,1961,6,30.4456
17,1961,6,3.1003
18,1961,6,10.6585
19,1961,6,13.2355
20,1961,6,13.2655
21,1961,6,30.9461
22,1961,6,16.0051
23,1961,6,4.563
24,1961,6,26.2872
25,1961,6,5.0897
26,1961,6,51.5438
27,1961,6,52.5362
28,1961,6,62.4949
29,1961,6,1.0243
30,1961,6,3.0555
31,1961,6,43.5325
32,1961,6,19.0939
33,1961,6,56.7314
34,1961,6,16.2784
35,1961,6,5.402
36,1961,6,3.526
37,1961,6,2.5935
38,1961,6,4.7538
39,1961,6,5.5782
40,1961,6,4.9359
41,1961,6,7.5919
42,1961,6,2.1544
43,1961,6,19.3798
44,1961,6,65.4651
45,1961,6,18.1875
46,1961,6,2.1484
47,1961,6,2.3982
48,1961,6,29.027
49,1961,6,2.6864
50,1961,6,26.0712
51,1961,6,13.4497
52,1961,6,5.9383
53,1961,6,13.5049
54,1961,6,4.1195
55,1961,6,11.3513
56,1961,6,37.7949
57,1961,6,37.0468
58,1961,6,14.1117
59,1961,6,18.5677
60,1961,6,45.8973
61,1961,6,24.4803
62,1961,6,71.04
63,1961,6,41.6953
64,1961,6,1.9548
65,1961,6,51.942
66,1961,6,37.0288
67,1961,6,18.8166
68,1961,6,39.2206
69,1961,6,62.0215
70,1961,6,9.9512
71,1961,6,39.7916
72,1961,6,60.7807
73,1961,6,15.7153
74,1961,6,9.0506
75,1961,6,0.9099
76,1961,6,5.9974
77,1961,6,0.4261
78,1961,6,0.7376
79,1961,6,30.8226
80,1961,6,30.2326
81,1961,6,9.1062
82,1961,6,7.6713
83,1961,6,19.8269
0,1961,7,4.1581
1,1961,7,9.6461
2,1961,7,14.8877
3,1961,7,4.6365
4,1961,7,9.5936
5,1961,7,0.1988
6,1961,7,2.1737
7,1961,7,3.3179
8,1961,7,3.0478
9,1961,7,7.5992
10,1961,7,0.469
11,1961,7,1.9363
12,1961,7,0.7062
13,1961,7,0.1249
14,1961,7,10.3166
15,1961,7,11.8468
16,1961,7,11.4306
17,1961,7,0.9511
18,1961,7,5.0794
19,1961,7,8.122
20,1961,7,2.9389
21,1961,7,9.4868
22,1961,7,3.4285
23,1961,7,1.9854
24,1961,7,10.3239
25,1961,7,1.3564
26,1961,7,12.3838
27,1961,7,6.9082
28,1961,7,7.8191
29,1961,7,0.2871
30,1961,7,0.6926
31,1961,7,11.4803
32,1961,7,7.7068
33,1961,7,7.4394
34,1961,7,5.1244
35,1961,7,2.7011
36,1961,7,0.9242
37,1961,7,0.6154
38,1961,7,0.4488
39,1961,7,2.1512
40,1961,7,0.4017
41,1961,7,2.4313
42,1961,7,0.6185
43,1961,7,9.0159
44,1961,7,7.4048
45,1961,7,9.0354
46,1961,7,0.4372
47,1961,7,0.2526
48,1961,7,10.8859
49,1961,7,1.5229
50,1961,7,3.8447
51,1961,7,8.5665
52,1961,7,3.3829
53,1961,7,6.1449
54,1961,7,0.7857
55,1961,7,3.7449
56,1961,7,7.8252
57,1961,7,7.7024
58,1961,7,4.1962
59,1961,7,6.0965
60,1961,7,10.3366
61,1961,7,10.9456
62,1961,7,5.7203
63,1961,7,7.0031
64,1961,7,0.4957
65,1961,7,7.829
66,1961,7,6.2953
67,1961,7,6.5463
68,1961,7,6.8333
69,1961,7,5.321
70,1961,7,4.8046
71,1961,7,7.8841
72,1961,7,7.0801
73,1961,7,3.7169
74,1961,7,2.0011
75,1961,7,0.1714
76,1961,7,0.5729
77,1961,7,0.167
78,1961,7,0.0883
79,1961,7,9.539
80,1961,7,7.1103
81,1961,7,3.8552
82,1961,7,3.4867
83,1961,7,5.1609
0,1961,8,1.3231
1,1961,8,2.7142
2,1961,8,4.5285
3,1961,8,1.4984
4,1961,8,2.6765
5,1961,8,0.3249
6,1961,8,0.7425
7,1961,8,1.125
8,1961,8,1.4828
9,1961,8,2.0213
10,1961,8,0.3142
11,1961,8,0.726
12,1961,8,0.3636
13,1961,8,0.0717
14,1961,8,3.4879
15,1961,8,3.3838
16,1961,8,4.0846
17,1961,8,0.4841
18,1961,8,1.8935
19,1961,8,3.7265
20,1961,8,0.7066
21,1961,8,2.8279
22,1961,8,0.9006
23,1961,8,0.5221
24,1961,8,3.7873
25,1961,8,0.4775
26,1961,8,3.9885
27,1961,8,3.9756
28,1961,8,3.0982
29,1961,8,0.1425
30,1961,8,0.2475
31,1961,8,3.9116
32,1961,8,3.615
33,1961,8,2.3904
34,1961,8,1.8314
35,1961,8,1.03
36,1961,8,0.2659
37,1961,8,0.1101
38,1961,8,0.2074
39,1961,8,0.4451
40,1961,8,0.1321
41,1961,8,0.7149
42,1961,8,0.1851
43,1961,8,2.3418
44,1961,8,2.11
45,1961,8,3.9004
46,1961,8,0.2084
47,1961,8,0.1313
48,1961,8,4.5483
49,1961,8,0.5917
50,1961,8,2.7671
51,1961,8,2.9962
52,1961,8,3.019
53,1961,8,3.1928
54,1961,8,0.1851
55,1961,8,1.269
56,1961,8,2.1255
57,1961,8,3.2002
58,1961,8,1.5266
59,1961,8,2.628
60,1961,8,2.8842
61,1961,8,3.9258
62,1961,8,1.751
63,1961,8,2.7987
64,1961,8,0.2568
65,1961,8,2.1584
66,1961,8,2.1874
67,1961,8,2.4216
68,1961,8,1.8454
69,1961,8,2.6599
70,1961,8,2.7383
71,1961,8,3.4907
72,1961,8,2.088
73,1961,8,1.2338
74,1961,8,0.7679
75,1961,8,0.0644
76,1961,8,0.1833
77,1961,8,0.1474
78,1961,8,0.0695
79,1961,8,2.7893
80,1961,8,2.4068
81,1961,8,1.2871
82,1961,8,1.4305
83,1961,8,2.0688
0,1961,9,0.716
1,1961,9,0.8272
2,1961,9,1.4345
3,1961,9,0.8963
4,1961,9,0.8662
5,1961,9,0.124
6,1961,9,0.4517
7,1961,9,0.6447
8,1961,9,0.7357
9,1961,9,0.987
10,1961,9,0.1713
11,1961,9,0.4437
12,1961,9,0.1439
13,1961,9,0.0273
14,1961,9,0.9884
15,1961,9,1.2339
16,1961,9,2.1355
17,1961,9,0.2108
18,1961,9,0.9476
19,1961,9,2.0082
20,1961,9,0.4274
21,1961,9,1.2136
22,1961,9,0.5588
23,1961,9,0.2804
24,1961,9,1.9278
25,1961,9,0.3572
26,1961,9,1.5657
27,1961,9,2.3372
28,1961,9,1.3058
29,1961,9,0.0764
30,1961,9,0.1227
31,1961,9,1.8371
32,1961,9,1.717
33,1961,9,1.3239
34,1961,9,0.9701
35,1961,9,0.5463
36,1961,9,0.1237
37,1961,9,0.109
38,1961,9,0.0878
39,1961,9,0.1525
40,1961,9,0.071
41,1961,9,0.447
42,1961,9,0.0995
43,1961,9,1.2473
44,1961,9,0.8252
45,1961,9,1.5013
46,1961,9,0.0866
47,1961,9,0.0711
48,1961,9,2.0859
49,1961,9,0.387
50,1961,9,1.6154
51,1961,9,1.7321
52,1961,9,0.8678
53,1961,9,1.4188
54,1961,9,0.0804
55,1961,9,0.9252
56,1961,9,0.595
57,1961,9,1.4759
58,1961,9,1.0651
59,1961,9,1.3049
60,1961,9,1.9583
61,1961,9,2.381
62,1961,9,0.8585
63,1961,9,1.3864
64,1961,9,0.1489
65,1961,9,1.602
66,1961,9,0.8871
67,1961,9,0.8423
68,1961,9,0.9123
69,1961,9,1.4304
70,1961,9,1.0892
71,1961,9,1.8685
72,1961,9,1.7112
73,1961,9,0.6656
74,1961,9,0.305
75,1961,9,0.0396
76,1961,9,0.0778
77,1961,9,0.0619
78,1961,9,0.0159
79,1961,9,1.5167
80,1961,9,1.073
81,1961,9,0.7344
82,1961,9,1.0009
83,1961,9,1.1396
0,1961,10,0.8872
1,1961,10,1.1581
2,1961,10,0.8736
3,1961,10,1.0264
4,1961,10,1.5403
5,1961,10,0.2132
6,1961,10,0.401
7,1961,10,0.8903
8,1961,10,0.9303
9,1961,10,1.2703
10,1961,10,0.3181
11,1961,10,0.6764
12,1961,10,0.8376
13,1961,10,0.0897
14,1961,10,0.8544
15,1961,10,1.8542
16,1961,10,2.5204
17,1961,10,0.41
18,1961,10,1.0288
19,1961,10,2.0535
20,1961,10,0.6339
21,1961,10,1.4193
22,1961,10,0.8099
23,1961,10,0.4727
24,1961,10,2.275
25,1961,10,0.352
26,1961,10,2.3229
27,1961,10,2.2763
28,1961,10,1.9121
29,1961,10,0.0578
30,1961,10,0.2844
31,1961,10,2.1951
32,1961,10,1.655
33,1961,10,2.2083
34,1961,10,1.1316
35,1961,10,0.5227
36,1961,10,0.3189
37,1961,10,0.1336
38,1961,10,0.3332
39,1961,10,0.2751
40,1961,10,0.1782
41,1961,10,0.7138
42,1961,10,0.1841
43,1961,10,1.6649
44,1961,10,1.2857
45,1961,10,1.1998
46,1961,10,0.2733
47,1961,10,0.1917
48,1961,10,2.268
49,1961,10,0.4191
50,1961,10,2.6709
51,1961,10,1.7705
52,1961,10,3.0587
53,1961,10,1.6923
54,1961,10,0.2905
55,1961,10,0.8788
56,1961,10,1.9151
57,1961,10,1.8866
58,1961,10,1.2472
59,1961,10,1.4313
60,1961,10,2.3546
61,1961,10,2.6452
62,1961,10,1.269
63,1961,10,2.1649
64,1961,10,0.256
65,1961,10,1.9322
66,1961,10,2.0194
67,1961,10,1.9147
68,1961,10,1.8113
69,1961,10,1.914
70,1961,10,2.1275
71,1961,10,2.1976
72,1961,10,2.1031
73,1961,10,1.2629
74,1961,10,0.5717
75,1961,10,0.087
76,1961,10,0.1959
77,1961,10,0.1856
78,1961,10,0.0896
79,1961,10,2.2168
80,1961,10,1.2672
81,1961,10,0.7971
82,1961,10,1.044
83,1961,10,1.9466
0,1961,11,1.803
1,1961,11,1.8092
2,1961,11,1.5016
3,1961,11,1.7884
4,1961,11,1.5839
5,1961,11,0.2459
6,1961,11,0.5832
7,1961,11,1.5081
8,1961,11,2.3167
9,1961,11,1.7867
10,1961,11,0.7433
11,1961,11,1.4643
12,1961,11,2.0363
13,1961,11,0.1556
14,1961,11,1.8306
15,1961,11,1.9289
16,1961,11,2.9536
17,1961,11,1.0315
18,1961,11,1.5411
19,1961,11,2.5057
20,1961,11,1.3034
21,1961,11,2.0802
22,1961,11,2.0733
23,1961,11,1.052
24,1961,11,2.6644
25,1961,11,0.5756
26,1961,11,3.0013
27,1961,11,4.6473
28,1961,11,2.3984
29,1961,11,0.0968
30,1961,11,0.8919
31,1961,11,3.0878
32,1961,11,2.4863
33,1961,11,3.3786
34,1961,11,2.6238
35,1961,11,0.8319
36,1961,11,0.7766
37,1961,11,0.2828
38,1961,11,0.8365
39,1961,11,0.6737
40,1961,11,0.4302
41,1961,11,1.2922
42,1961,11,0.4435
43,1961,11,3.8113
44,1961,11,1.9488
